train_loss,train_acc,valid_loss,valid_acc
1.6845599031829834,0.38634,1.1716328187942504,0.5766
1.177155412979126,0.5827999999809265,0.9773138040542603,0.6528
1.0236635789108277,0.6393999999809266,0.8878442565917969,0.6886
0.9242218845176696,0.6780800000953674,0.7729158263206481,0.7308
0.860495747833252,0.699580000076294,0.7852689997673035,0.7242
0.8121226972198486,0.7172200000190735,0.7286312376022339,0.7522
0.7782412040519714,0.729920000076294,0.7243944832801819,0.7505
0.7450206139564514,0.7394599999618531,0.6436501351833344,0.7745
0.726965161857605,0.74622,0.6312111238479614,0.7795
0.7035797890472412,0.754079999961853,0.6012860733509063,0.7911
0.6971183093261719,0.7575600000190735,0.5998379594326019,0.7904
0.6769025963973999,0.7649400000190735,0.5902111378669739,0.7958
0.6657177419376373,0.7683800000762939,0.6045859080553054,0.7877
0.6500260118103027,0.775800000038147,0.6349558773994446,0.7878
0.6434660103988648,0.776260000114441,0.6086245848178864,0.7923
0.632575258769989,0.7799200000190735,0.5849042788028717,0.7973
0.6180943099021912,0.785320000038147,0.5628348094463348,0.8027
0.6141783543395997,0.7857800000762939,0.5734898130893707,0.8013
0.6056520882034302,0.7900600000953675,0.5357514408826828,0.8182
0.5988615311622619,0.792679999885559,0.5393223916053772,0.8134
0.584119936580658,0.7982000000953674,0.5324684749603271,0.8166
0.5868953870010376,0.7973000001144409,0.5217582808017731,0.8219
0.5764856613349915,0.8033800000190735,0.5552136479377746,0.808
0.5629771489524842,0.8035800000572204,0.5862952365875244,0.7975
0.5633000793838501,0.803660000038147,0.5237262765169144,0.8213
0.5598138577079773,0.8078000000762939,0.4987715042591095,0.825
0.5565285657405853,0.8086400000190734,0.4921379222393036,0.834
0.5430784185791016,0.8122800000953674,0.4852734251499176,0.8328
0.54615275390625,0.811459999961853,0.5009359494686126,0.8287
0.5406350930213928,0.8136200000953674,0.5333204273223877,0.8179
0.5392595316314698,0.8127000000572204,0.48616654353141786,0.8326
0.5267196881866455,0.816440000038147,0.5025952310562134,0.8262
0.5261801692962647,0.81728,0.5044477343559265,0.8289
0.5272611990165711,0.8167800000190735,0.5147178722858429,0.8241
0.519746797542572,0.8209000000762939,0.49038882014751434,0.8334
0.5145175582122803,0.821900000038147,0.49560891687870023,0.8335
0.5111332044219971,0.822220000038147,0.4949566837072372,0.8284
0.5196913688278199,0.8201200000190735,0.5075389438390732,0.8355
0.5107059080314637,0.8230400000190735,0.5150074945926666,0.8239
0.5022474057006836,0.826360000076294,0.5154669270992279,0.8261
0.5093136440944671,0.82266,0.5224290180921555,0.8246
0.5001552091217041,0.825200000114441,0.4892253228664398,0.8341
0.49346817447662356,0.8301400000953675,0.46394104158878324,0.8422
0.49019362379074094,0.829540000038147,0.46068006176948545,0.8433
0.4903439625453949,0.83154,0.45318909158706666,0.8481
0.4911818578147888,0.8303400000762939,0.46928688626289367,0.8401
0.4938333504486084,0.8295600001525879,0.4668051149845123,0.8445
0.4871813353347778,0.8319200000190735,0.45221546919345856,0.8453
0.48354201760292054,0.8314999999809265,0.518341772866249,0.8318
0.4835441666889191,0.8321800000190734,0.46714812109470366,0.8403
